страница,title,meta description,canonical,JSON-LD блоков,типы schema
404.html,Страница не найдена | БОСФОР,Запрошенная страница не найдена. Перейдите на главную страницу или выберите нужный раздел сайта БОСФОР.,,0,
about.html,О компании БОСФОР — светопрозрачные конструкции с 1996 года,"БОСФОР проектирует, производит и монтирует окна, двери, фасады и витражи для частных и корпоративных объектов с 1996 года.",https://www.bosforkmv.ru/o-kompanii/,1,"Organization, WebPage, WebSite"
aluminum-windows.html,Алюминиевые окна на заказ — производство и монтаж | БОСФОР,"Тёплые и холодные алюминиевые окна, панорамные и французские конструкции. Проектирование, производство, замер и монтаж БОСФОР.",https://www.bosforkmv.ru/alyuminievye-okna/,2,"Organization, Service, WebPage, WebSite"
alutech.html,"Системы Alutech: окна, двери, порталы и фасады | БОСФОР","Проектируем, производим и монтируем алюминиевые окна, двери, порталы и фасадные конструкции на системах Alutech. Подбор решения и расчёт проекта.",https://www.bosforkmv.ru/sistemy/alutech/,2,"Brand, Organization, Service, WebPage, WebSite"
analytics-dashboard.html,Прототип аналитического дашборда БОСФОР,Служебный прототип структуры дашборда лидов и органической видимости БОСФОР.,,0,
architects.html,Архитекторам и проектировщикам — фасадные решения | БОСФОР,"Техническая поддержка архитекторов: подбор оконных и фасадных систем, проработка узлов, оценка реализуемости и сопровождение проекта БОСФОР.",https://www.bosforkmv.ru/arkhitektoram/,1,"Organization, WebPage, WebSite"
article-facade-brief.html,Что нужно для расчёта алюминиевого фасада,Какие чертежи и исходные данные передать подрядчику для предварительного расчёта светопрозрачного фасада или витража.,https://www.bosforkmv.ru/knowledge/dannye-dlya-rascheta-fasada/,2,"Article, Organization, WebPage, WebSite"
article-facade-types.html,Виды светопрозрачных фасадов: краткое сравнение,"Стоечно-ригельное, структурное и полуструктурное остекление: визуальные и конструктивные отличия фасадных систем.",https://www.bosforkmv.ru/knowledge/vidy-svetoprozrachnykh-fasadov/,2,"Article, Organization, WebPage, WebSite"
article-opening-preparation.html,Как подготовить оконный проём к монтажу,"Что проверить перед монтажом окон: геометрия и прочность проёма, уровни пола, доступ, отделка, электрика и защита помещения.",https://www.bosforkmv.ru/knowledge/podgotovka-proema-k-montazhu/,2,"Article, Organization, WebPage, WebSite"
article-panoramic-mistakes.html,7 ошибок при проектировании панорамного остекления,"Основные ошибки при проектировании панорамных окон: габариты, перегрев, безопасное стекло, открывания, пороги, водоотведение и монтаж.",https://www.bosforkmv.ru/knowledge/oshibki-panoramnogo-ostekleniya/,2,"Article, Organization, WebPage, WebSite"
article-portal-choice.html,Как выбрать раздвижной портал для дома,"Выбор раздвижного портала: размеры, схема открывания, тёплый профиль, порог, стеклопакет, основание и монтаж.",https://www.bosforkmv.ru/knowledge/kak-vybrat-portal/,2,"Article, Organization, WebPage, WebSite"
article-warm-cold-aluminum.html,Тёплый и холодный алюминий: разница и применение,"Чем тёплый алюминиевый профиль отличается от холодного, где применяются системы с терморазрывом и как выбрать решение.",https://www.bosforkmv.ru/knowledge/teplyj-i-kholodnyj-alyuminij/,2,"Article, Organization, WebPage, WebSite"
article-window-choice.html,Как выбрать окна для частного дома: инженерный чек-лист,"Какие окна выбрать для частного дома: материал профиля, размеры, стеклопакет, открывания, солнцезащита, безопасность и монтаж.",https://www.bosforkmv.ru/knowledge/kak-vybrat-okna-dlya-doma/,2,"Article, Organization, WebPage, WebSite"
article-window-condensation.html,Почему на окнах появляется конденсат и что проверить,"Причины конденсата на окнах: влажность, температура поверхности, вентиляция, стеклопакет и монтаж. Практический порядок проверки.",https://www.bosforkmv.ru/knowledge/kondensat-na-oknakh/,2,"Article, Organization, WebPage, WebSite"
consent.html,Согласие на обработку персональных данных | БОСФОР,Рабочий проект согласия на обработку персональных данных для форм сайта БОСФОР. Требует юридического согласования.,https://www.bosforkmv.ru/consent/,0,
contacts.html,Контакты компании БОСФОР в Пятигорске,"Контакты БОСФОР: телефон 8 800 101-17-41, email info@bosforkmv.ru, адрес офиса в Пятигорске — улица Ермолова, 14.",https://www.bosforkmv.ru/kontakty/,2,"ContactPage, Organization, WebPage, WebSite"
